user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
20110600_E3D_3	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	GCA_003162175.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	99.66	0.95	GCA_003162175.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	99.66	0.95	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_015661395.1, s__Bog-38 sp015661395, 95.0, 92.03, 0.89; GCA_003139855.1, s__Bog-38 sp003139855, 96.4034, 89.45, 0.92; GCA_003158275.1, s__Bog-38 sp003158275, 96.4034, 88.63, 0.62; GCA_015660915.1, s__Bog-38 sp015660915, 95.0, 80.32, 0.67; GCA_003170935.1, s__Bog-38 sp003170935, 95.0, 79.16, 0.37	89.85	11	N/A	N/A
20110600_E3M_2	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003139855	GCA_003139855.1	96.4034	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003139855	98.14	0.96	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__	ANI	topological placement and ANI have incongruent species assignments	GCA_003139855.1, s__Bog-38 sp003139855, 96.4034, 98.14, 0.96; GCA_003158275.1, s__Bog-38 sp003158275, 96.4034, 97.44, 0.71; GCA_003162175.1, s__Bog-38 sp003162175, 95.0, 89.44, 0.84; GCA_015661395.1, s__Bog-38 sp015661395, 95.0, 89.37, 0.89; GCA_015660915.1, s__Bog-38 sp015660915, 95.0, 79.65, 0.61; GCA_003170935.1, s__Bog-38 sp003170935, 95.0, 78.54, 0.32	69.14	11	N/A	N/A
20110600_E3M_5	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	GCA_003162175.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	99.7	0.97	GCA_003162175.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	99.7	0.97	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_015661395.1, s__Bog-38 sp015661395, 95.0, 91.72, 0.94; GCA_003139855.1, s__Bog-38 sp003139855, 96.4034, 88.37, 0.92; GCA_003158275.1, s__Bog-38 sp003158275, 96.4034, 88.23, 0.67; GCA_015660915.1, s__Bog-38 sp015660915, 95.0, 80.02, 0.62; GCA_003170935.1, s__Bog-38 sp003170935, 95.0, 78.73, 0.33	66.04	11	N/A	N/A
20110600_E3S_3	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	GCA_003162175.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	99.62	0.93	GCA_003162175.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	99.62	0.93	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_015661395.1, s__Bog-38 sp015661395, 95.0, 91.22, 0.89; GCA_003139855.1, s__Bog-38 sp003139855, 96.4034, 88.82, 0.87; GCA_003158275.1, s__Bog-38 sp003158275, 96.4034, 88.25, 0.64; GCA_015660915.1, s__Bog-38 sp015660915, 95.0, 80.33, 0.61; GCA_003170935.1, s__Bog-38 sp003170935, 95.0, 78.96, 0.36	83.5	11	N/A	N/A
20110600_P1M_11	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__UBA183;g__BOG-1369;s__	N/A	N/A	N/A	N/A	N/A	GCA_003135575.1	95.0	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__UBA183;g__BOG-1369;s__BOG-1369 sp003135575	79.82	0.44	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__UBA183;g__BOG-1369;s__	taxonomic classification defined by topology and ANI	N/A	GCA_003164815.1, s__BOG-1369 sp003164815, 95.0, 77.03, 0.14	65.26	11	0.9621096818139332	N/A
20110600_S2D_10	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003139855	GCA_003139855.1	96.4034	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003139855	99.2	0.98	GCA_003139855.1	96.4034	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003139855	99.2	0.98	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_003158275.1, s__Bog-38 sp003158275, 96.4034, 97.63, 0.65; GCA_015661395.1, s__Bog-38 sp015661395, 95.0, 90.17, 0.9; GCA_003162175.1, s__Bog-38 sp003162175, 95.0, 89.61, 0.89; GCA_015660915.1, s__Bog-38 sp015660915, 95.0, 80.42, 0.6; GCA_003170935.1, s__Bog-38 sp003170935, 95.0, 79.14, 0.32	94.58	11	N/A	N/A
20110600_S3M_15	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003139855	GCA_003139855.1	96.4034	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003139855	99.08	0.98	GCA_003139855.1	96.4034	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003139855	99.08	0.98	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_003158275.1, s__Bog-38 sp003158275, 96.4034, 97.95, 0.66; GCA_015661395.1, s__Bog-38 sp015661395, 95.0, 90.18, 0.91; GCA_003162175.1, s__Bog-38 sp003162175, 95.0, 89.69, 0.88; GCA_015660915.1, s__Bog-38 sp015660915, 95.0, 80.33, 0.64; GCA_003170935.1, s__Bog-38 sp003170935, 95.0, 79.17, 0.33	97.71	11	N/A	N/A
20110600_S3M_16	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium_A;s__Methanobacterium_A sp003166335	GCA_003166335.1	95.0	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium_A;s__Methanobacterium_A sp003166335	99.76	0.93	GCA_003166335.1	95.0	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium_A;s__Methanobacterium_A sp003166335	99.76	0.93	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium_A;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_015661405.1, s__Methanobacterium_A sp015661405, 95.0, 87.01, 0.84; GCA_003161815.1, s__Methanobacterium_A sp003161815, 95.0, 84.55, 0.64; GCA_017883605.1, s__Methanobacterium_A sp017883605, 95.0, 77.53, 0.16; GCA_002067565.1, s__Methanobacterium_A sp002067565, 95.0, 77.35, 0.15; GCA_002494495.1, s__Methanobacterium_A sp002494495, 95.0, 77.22, 0.13; GCA_011620845.1, s__Methanobacterium_A sp011620845, 95.0, 77.22, 0.11; GCA_002067325.1, s__Methanobacterium_A sp002067325, 95.0, 77.1, 0.1; GCA_018263005.1, s__Methanobacterium_A sp018263005, 95.0, 76.91, 0.14; GCA_002495625.1, s__Methanobacterium_A sp002495625, 95.0, 76.76, 0.12; GCA_002502855.1, s__Methanobacterium_A sp002502855, 95.0, 76.58, 0.1	92.09	11	N/A	N/A
20110700_E1D_2	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	GCA_003162175.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	99.68	0.93	GCA_003162175.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	99.68	0.93	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_015661395.1, s__Bog-38 sp015661395, 95.0, 91.68, 0.83; GCA_003139855.1, s__Bog-38 sp003139855, 96.4034, 89.05, 0.84; GCA_003158275.1, s__Bog-38 sp003158275, 96.4034, 88.63, 0.57; GCA_015660915.1, s__Bog-38 sp015660915, 95.0, 80.59, 0.61; GCA_003170935.1, s__Bog-38 sp003170935, 95.0, 79.27, 0.33	97.85	11	N/A	N/A
20110700_E1M_1	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	GCA_003162175.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	99.62	0.93	GCA_003162175.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	99.62	0.93	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_015661395.1, s__Bog-38 sp015661395, 95.0, 91.39, 0.86; GCA_003139855.1, s__Bog-38 sp003139855, 96.4034, 88.77, 0.88; GCA_003158275.1, s__Bog-38 sp003158275, 96.4034, 88.29, 0.61; GCA_015660915.1, s__Bog-38 sp015660915, 95.0, 80.39, 0.61; GCA_003170935.1, s__Bog-38 sp003170935, 95.0, 79.34, 0.32	85.18	11	N/A	N/A
20110700_E2D_8	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	GCA_003162175.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	99.44	0.96	GCA_003162175.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	99.44	0.96	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_015661395.1, s__Bog-38 sp015661395, 95.0, 92.14, 0.93; GCA_003139855.1, s__Bog-38 sp003139855, 96.4034, 89.71, 0.94; GCA_003158275.1, s__Bog-38 sp003158275, 96.4034, 88.97, 0.63; GCA_015660915.1, s__Bog-38 sp015660915, 95.0, 80.65, 0.66; GCA_003170935.1, s__Bog-38 sp003170935, 95.0, 79.03, 0.36	92.73	11	N/A	N/A
20110700_E2M_5	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	GCA_003162175.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	99.63	0.95	GCA_003162175.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	99.63	0.95	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_015661395.1, s__Bog-38 sp015661395, 95.0, 91.0, 0.9; GCA_003139855.1, s__Bog-38 sp003139855, 96.4034, 88.23, 0.88; GCA_003158275.1, s__Bog-38 sp003158275, 96.4034, 87.71, 0.66; GCA_015660915.1, s__Bog-38 sp015660915, 95.0, 80.27, 0.58; GCA_003170935.1, s__Bog-38 sp003170935, 95.0, 78.99, 0.35	76.8	11	N/A	N/A
20110700_E3M_8	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	GCA_003162175.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	99.7	0.92	GCA_003162175.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	99.7	0.92	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_015661395.1, s__Bog-38 sp015661395, 95.0, 91.26, 0.83; GCA_003139855.1, s__Bog-38 sp003139855, 96.4034, 88.76, 0.84; GCA_003158275.1, s__Bog-38 sp003158275, 96.4034, 88.4, 0.58; GCA_015660915.1, s__Bog-38 sp015660915, 95.0, 80.42, 0.58; GCA_003170935.1, s__Bog-38 sp003170935, 95.0, 79.26, 0.34	88.65	11	N/A	N/A
