genome	taxonomy	completeness	contamination	subpathway	habitat
20120600_E1D_55	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__;s__	78.62	1.75	"CAZy-Amorphous_Cellulose,CAZy-Arabinan,CAZy-Arabinose_cleavage,CAZy-Beta_mannan,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Pectin,CAZy-Starch,CAZy-Xylans,CAZy-Xyloglucan,chemotaxis-all,flagella_assembly-all,fructose_degradation-all,galactose_degradation-all,lactose_degradation-all,phosphorous_redox-assimilatory_phosphonate_oxidation,reductive_glycine-acetyl_pathway,sucrose_degradation-all,xylose_degradation-isomerase_pathway"	Fen
20120600_E2D_11	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Thermoanaerobaculales;f__Thermoanaerobaculaceae;g__RBG-13-68-16;s__RBG-13-68-16 sp003158745	95.3	1.71	"CAZy-Amorphous_Cellulose,CAZy-Pectin,acetogenesis-simple,chemotaxis-all"	Fen
20120600_E2D_15	d__Bacteria;p__Myxococcota;c__Polyangia;o__Palsa-1104;f__Fen-1088;g__Fen-1137;s__Fen-1137 sp003158395	91.72	3.23	"CAZy-Amorphous_Cellulose,CAZy-Arabinan,CAZy-Beta_mannan,CAZy-Fucose_Cleavage,CAZy-Mixed_Linkage_glucans,CAZy-Pectin,CAZy-Rhamnose_cleavage,CAZy-Starch,CAZy-Xylans,CAZy-Xyloglucan,acetogenesis-simple,chemotaxis-all,flagella_assembly-all,fructose_degradation-all,galactose_degradation-all,glycerol_degradation-glycerol,lactate_fermentation-all,lactose_degradation-all,nitrogen_redox-nitrogen_fixation,sulfur_redox-assimilatory_sulfate_reduction,xylose_degradation-isomerase_pathway"	Fen
20120600_E2D_41	d__Bacteria;p__Chloroflexota;c__Ellin6529;o__CSP1-4;f__CSP1-4;g__Fen-1039;s__Fen-1039 sp003157875	80.64	0	"CAZy-Amorphous_Cellulose,CAZy-Chitin,acetogenesis-simple,chemotaxis-all,flagella_assembly-all,galactose_degradation-all,glycerol_degradation-glycerol,lactate_fermentation-all,lactose_degradation-all,mannose_degradation-all,phosphorous_redox-assimilatory_phosphonate_oxidation,reductive_glycine-acetyl_pathway,reductive_glycine-serine_pathway,xylose_degradation-isomerase_pathway"	Fen
20120600_E3D_20	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__UBA2241;f__UBA2241;g__FEN-672;s__FEN-672 sp003158705	87.5	1.72	"CAZy-Chitin,CAZy-Pectin,CAZy-Xylans,butanoate_fermentation-acetyl_coa_pathway,reductive_glycine-acetyl_pathway,reductive_glycine-serine_pathway"	Fen
20120600_E3D_38	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__LD21 sp003157015	94.57	2.42	"CAZy-Amorphous_Cellulose,CAZy-Arabinan,CAZy-Arabinose_cleavage,CAZy-Beta_galactan__pectic_galactan_,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Mixed_Linkage_glucans,CAZy-Pectin,CAZy-Starch,CAZy-Xylans,acetogenesis-simple,fructose_degradation-all,fucose_degradation-all,galactose_degradation-all,glycerol_degradation-glycerol,lactate_fermentation-all,lactose_degradation-all,mannose_degradation-all,sucrose_degradation-all,xylose_degradation-isomerase_pathway"	Fen
20120700_E2D_6	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__UBA3254;g__Fen-1064;s__	74.65	2.09	"fructose_degradation-all,glycerol_degradation-glycerol,glycerol_degradation-glycerone,xylose_degradation-isomerase_pathway"	Fen
20120700_S1X_2	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Bog-793;g__Fen-455;s__Fen-455 sp003139355	98.21	1.28	"CAZy-Amorphous_Cellulose,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Starch,CAZy-Xylans,CAZy-Xyloglucan,fructose_degradation-all,galactose_degradation-all,glycerol_degradation-glycerol,propionate_fermentation-succinate_pathway,reductive_glycine-acetyl_pathway,reductive_glycine-serine_pathway,sulfur_redox-assimilatory_sulfate_reduction,xylose_degradation-isomerase_pathway"	Fen
20120800_E1D_12	d__Bacteria;p__Myxococcota;c__Polyangia;o__Palsa-1104;f__Fen-1088;g__Fen-1137;s__Fen-1137 sp003142855	91.94	3.25	"CAZy-Amorphous_Cellulose,CAZy-Arabinan,CAZy-Beta_mannan,CAZy-Fucose_Cleavage,CAZy-Mixed_Linkage_glucans,CAZy-Pectin,CAZy-Polyphenolics,CAZy-Starch,CAZy-Xylans,CAZy-Xyloglucan,Calvin_Benson-all,acetogenesis-simple,flagella_assembly-all,fructose_degradation-all,galactose_degradation-all,glycerol_degradation-glycerol,lactose_degradation-all,mannose_degradation-all,nitrogen_redox-nitrogen_fixation,xylose_degradation-isomerase_pathway"	Fen
20120800_E2D_18	d__Bacteria;p__Chloroflexota;c__Ellin6529;o__CSP1-4;f__CSP1-4;g__;s__	75.86	0	"CAZy-Chitin,CAZy-Starch,glycerol_degradation-glycerol,glycerol_degradation-glycerone,reductive_glycine-serine_pathway,sulfur_redox-dissimilatory_sulfur_oxidation"	Fen
20120800_E2X_6	d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Methylomirabilales;f__2-02-FULL-66-22;g__2-02-FULL-66-22;s__	77.51	3.47	"chemotaxis-all,glycerol_degradation-glycerol,glycerol_degradation-glycerone,lactate_fermentation-all,xylose_degradation-isomerase_pathway"	Fen
20130700_C1D_16	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Fen-549;s__	93.1	0.86	"CAZy-Amorphous_Cellulose,CAZy-Xylans,fructose_degradation-all,galactose_degradation-all,lactate_fermentation-all,sulfur_redox-assimilatory_sulfate_reduction,sulfur_redox-dissimilatory_sulfur_oxidation"	Fen
20130700_C1D_18	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__UBA6107;s__	76.97	4.73	"CAZy-Amorphous_Cellulose,CAZy-Pectin,CAZy-Starch,galactose_degradation-all,lactate_fermentation-all,phosphorous_redox-assimilatory_phosphonate_oxidation,propionate_fermentation-succinate_pathway,sucrose_degradation-all,sulfur_redox-dissimilatory_sulfur_oxidation,xylose_degradation-isomerase_pathway"	Fen
20130700_C1D_19	d__Bacteria;p__Chloroflexota;c__Ellin6529;o__CSP1-4;f__CSP1-4;g__Fen-1039;s__	77.73	2.09	"CAZy-Chitin,CAZy-Xyloglucan,chemotaxis-all,galactose_degradation-all,lactate_fermentation-all,lactose_degradation-all,phosphorous_redox-assimilatory_phosphonate_oxidation,xylose_degradation-isomerase_pathway"	Fen
20130700_C1M_6	d__Bacteria;p__Chloroflexota;c__Ellin6529;o__CSP1-4;f__CSP1-4;g__;s__	77.13	2.78	"CAZy-Amorphous_Cellulose,CAZy-Starch,galactose_degradation-all,glycerol_degradation-glycerol,glycerol_degradation-glycerone,lactate_fermentation-all,lactose_degradation-all,reductive_glycine-acetyl_pathway,reductive_glycine-serine_pathway,sucrose_degradation-all,sulfur_redox-dissimilatory_sulfur_oxidation,xylose_degradation-isomerase_pathway"	Fen
20130700_C2D_3	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__	88.24	0.86	"CAZy-Amorphous_Cellulose,CAZy-Arabinan,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Pectin,CAZy-Xylans,CAZy-Xyloglucan,galactose_degradation-all,glycerol_degradation-glycerol,lactose_degradation-all,sucrose_degradation-all"	Fen
20130700_C2X_11	d__Bacteria;p__Bacteroidota;c__UBA10030;o__UBA10030;f__UBA10030;g__Fen-1298;s__	96.16	4.37	"CAZy-Amorphous_Cellulose,CAZy-Arabinose_cleavage,CAZy-Fucose_Cleavage,CAZy-Pectin,CAZy-Starch,CAZy-Xylans,CAZy-Xyloglucan,acetogenesis-simple,chemotaxis-all,galactose_degradation-all,lactate_fermentation-all,lactose_degradation-all,nitrogen_redox-nitrogen_fixation,sucrose_degradation-all,xylose_degradation-isomerase_pathway"	Fen
20130700_C2Y_6	d__Bacteria;p__Chloroflexota;c__Ellin6529;o__CSP1-4;f__CSP1-4;g__Fen-1039;s__	82.24	3.67	"CAZy-Amorphous_Cellulose,CAZy-Beta_galactan__pectic_galactan_,chemotaxis-all,flagella_assembly-all,galactose_degradation-all,glycerol_degradation-glycerol,lactose_degradation-all,mannose_degradation-all,phosphorous_redox-assimilatory_phosphonate_oxidation,propionate_fermentation-succinate_pathway,reductive_glycine-serine_pathway,xylose_degradation-isomerase_pathway"	Fen
20130700_E1M_4	d__Bacteria;p__Myxococcota;c__Polyangia;o__Palsa-1104;f__Fen-1088;g__Fen-1137;s__Fen-1137 sp003157315	86.18	1.33	"CAZy-Amorphous_Cellulose,CAZy-Arabinan,CAZy-Beta_mannan,CAZy-Fucose_Cleavage,CAZy-Mixed_Linkage_glucans,CAZy-Pectin,CAZy-Rhamnose_cleavage,CAZy-Starch,CAZy-Xyloglucan,Calvin_Benson-all,acetogenesis-simple,chemotaxis-all,flagella_assembly-all,fructose_degradation-all,galactose_degradation-all,glycerol_degradation-glycerol,lactate_fermentation-all,lactose_degradation-all,mannose_degradation-all,nitrogen_redox-nitric_oxide_oxidation,nitrogen_redox-nitrogen_fixation,sulfur_redox-assimilatory_sulfate_reduction,xylose_degradation-isomerase_pathway"	Fen
20130700_E2M_4	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__UBA3254;g__Fen-1064;s__	83	0.99	"Wood_Ljungdahl-acetogen,fructose_degradation-all,glycerol_degradation-glycerol,glycerol_degradation-glycerone,xylose_degradation-isomerase_pathway"	Fen
20140700_E14_2	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__LD21 sp003162595	92.86	2.38	"CAZy-Amorphous_Cellulose,CAZy-Arabinan,CAZy-Arabinose_cleavage,CAZy-Beta_galactan__pectic_galactan_,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Mixed_Linkage_glucans,CAZy-Pectin,CAZy-Starch,CAZy-Xylans,CAZy-Xyloglucan,acetogenesis-simple,fructose_degradation-all,fucose_degradation-all,galactose_degradation-all,glycerol_degradation-glycerol,lactate_fermentation-all,lactose_degradation-all,mannose_degradation-all,nitrogen_redox-nitric_oxide_oxidation,sucrose_degradation-all,xylose_degradation-isomerase_pathway"	Fen
20140700_E22_12	d__Bacteria;p__Dormibacterota;c__Dormibacteria;o__UBA8260;f__UBA8260;g__UBA8260;s__UBA8260 sp003135255	95.83	0	"CAZy-Amorphous_Cellulose,CAZy-Chitin,CAZy-Starch,chemotaxis-all,galactose_degradation-all,glycerol_degradation-glycerol,glycerol_degradation-glycerone,lactate_fermentation-all,reductive_glycine-acetyl_pathway,reductive_glycine-serine_pathway,sulfur_redox-dissimilatory_sulfur_oxidation,xylose_degradation-isomerase_pathway"	Fen
20150700_E25_9	d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Methylomirabilales;f__2-02-FULL-66-22;g__;s__	84.9	3.42	"Calvin_Benson-all,chemotaxis-all,galactose_degradation-all,galacturonic_acid_degradation-all,glycerol_degradation-glycerol,glycerol_degradation-glycerone,lactate_fermentation-all,mannose_degradation-all,propionate_fermentation-acrylate_pathway,propionate_fermentation-succinate_pathway,sucrose_degradation-all"	Fen
20150700_E35_2	d__Bacteria;p__Fibrobacterota;c__Chitinivibrionia;o__Chitinivibrionales;f__Chitinispirillaceae;g__;s__	78.32	2.36	"CAZy-Amorphous_Cellulose,CAZy-Arabinan,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Pectin,CAZy-Rhamnose_cleavage,CAZy-Starch,CAZy-Sulf_Polysachharides,CAZy-Xylans,CAZy-Xyloglucan,Calvin_Benson-all,chemotaxis-all,flagella_assembly-all,galactose_degradation-all,lactate_fermentation-all,lactose_degradation-all,nitrogen_redox-nitrogen_fixation,reductive_glycine-acetyl_pathway,sucrose_degradation-all"	Fen
20160700_E25_27	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae;g__Bog-209;s__	79.75	0.85	"CAZy-Arabinose_cleavage,CAZy-Chitin,CAZy-Pectin,CAZy-Polyphenolics,CAZy-Xyloglucan,chemotaxis-all,flagella_assembly-all,galactose_degradation-all,lactate_fermentation-all,lactose_degradation-all,sucrose_degradation-all,sulfur_redox-dissimilatory_sulfate_reduction"	Fen
20160700_E33_2	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__UBA3254;g__Fen-1064;s__Fen-1064 sp003162335	95.71	0.99	"CAZy-Polyphenolics,CAZy-Xyloglucan,Wood_Ljungdahl-acetogen,chemotaxis-all,fructose_degradation-all,glycerol_degradation-glycerol,glycerol_degradation-glycerone,lactose_degradation-all,nitrogen_redox-nitrogen_fixation,xylose_degradation-isomerase_pathway"	Fen
20170700_S25_38	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__UBA7540;f__UBA7540;g__UBA7540;s__	94.55	1.76	"CAZy-Arabinan,CAZy-Arabinose_cleavage,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Mixed_Linkage_glucans,CAZy-Pectin,CAZy-Polyphenolics,CAZy-Starch,CAZy-Sulf_Polysachharides,CAZy-Xylans,CAZy-Xyloglucan,Calvin_Benson-all,Wood_Ljungdahl-acetogen,butanoate_fermentation-acetyl_coa_pathway,fructose_degradation-all,galactose_degradation-all,galacturonic_acid_degradation-all,glycerol_degradation-glycerol,lactose_degradation-all,phosphorous_redox-assimilatory_phosphonate_oxidation,propionate_fermentation-succinate_pathway,reductive_glycine-acetyl_pathway,reductive_glycine-serine_pathway,sucrose_degradation-all,sulfur_redox-assimilatory_sulfate_reduction,xylose_degradation-isomerase_pathway"	Fen
3300036929_5	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__Pedosphaeraceae;g__UBA11358;s__	95.68	4.76	"CAZy-Amorphous_Cellulose,CAZy-Arabinan,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Pectin,CAZy-Polyphenolics,CAZy-Starch,CAZy-Xyloglucan,acetogenesis-simple,fructose_degradation-all,galactose_degradation-all,lactate_fermentation-all,lactose_degradation-all,nitrogen_redox-nitrogen_fixation,sulfur_redox-assimilatory_sulfate_reduction,xylose_degradation-isomerase_pathway"	Fen
3300037062_11	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__	99.35	1.05	"CAZy-Polyphenolics,Calvin_Benson-all,Wood_Ljungdahl-methanogen,chemotaxis-all,hydrogenotrophic_methanogenesis-all,nitrogen_redox-nitrogen_fixation"	Fen
3300037085_4	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__Pedosphaeraceae;g__UBA11358;s__	81.95	2.76	"CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Starch,galactose_degradation-all,lactate_fermentation-all,lactose_degradation-all"	Fen
3300037104_19	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__Methanothrix;s__	85.95	0.13	"CAZy-Starch,Wood_Ljungdahl-methanogen,acetoclastic_methanogenesis-all,nitrogen_redox-nitrogen_fixation"	Fen
3300037105_13	d__Bacteria;p__Planctomycetota;c__DG-23;o__SLPQ01;f__;g__;s__	81.43	1.82	"CAZy-Amorphous_Cellulose,CAZy-Chitin,CAZy-Pectin,acetogenesis-simple,fructose_degradation-all"	Fen
3300037198_12	d__Bacteria;p__Desulfobacterota;c__Syntrophorhabdia;o__Syntrophorhabdales;f__Syntrophorhabdaceae;g__;s__	75.52	6.8	"Wood_Ljungdahl-acetogen,chemotaxis-all,lactate_fermentation-all"	Fen
3300038475_6	d__Bacteria;p__Fibrobacterota;c__Chitinivibrionia;o__Chitinivibrionales;f__Chitinispirillaceae;g__;s__	86.57	4.4	"CAZy-Amorphous_Cellulose,CAZy-Arabinan,CAZy-Beta_galactan__pectic_galactan_,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Pectin,CAZy-Rhamnose_cleavage,CAZy-Starch,CAZy-Xylans,CAZy-Xyloglucan,Calvin_Benson-all,Wood_Ljungdahl-acetogen,flagella_assembly-all,fructose_degradation-all,galactose_degradation-all,lactate_fermentation-all,lactose_degradation-all,mannose_degradation-all,nitrogen_redox-nitrogen_fixation,reductive_glycine-acetyl_pathway,xylose_degradation-isomerase_pathway"	Fen
