"genome" "711_E-2-S" "711_E-2-M" "711_P-1-S" "711_P-1-M" "711_P-1-D" "711_P-2-S" "711_P-2-M" "711_P-2-D" "711_P-3-M" "711_P-3-D" "711_S-1-S" "711_S-1-M" "711_S-2-D" "712_E-1-D" "712_P-1-S" "712_P-1-M" "712_P-1-D" "712_P-2-S" "712_P-2-M" "712_P-2-D" "712_P-3-S" "712_P-3-M" "712_P-3-D" "712_S-1-X" "712_S-2-D" "712_S-3-S" "713_E-1-X0" "713_E-1-X1" "713_E-2-X1" "713_E-3-D" "713_E-3-X0" "713_E-3-X1" "713_P-1-X1" "713_P-3-M" "713_P-3-X1" "713_S-1-X0" "713_S-2-X0" "713_S-3-S" "713_S-3-M" "713_S-3-D" "713_S-3-X0" "713_S-3-X1" "714_E1_20-24" "714_E1_30-34" "714_P1_20-24" "714_P1_30-34" "714_P3_30-34" "714_S1_10-14" "714_S1_30-34" "714_S2_1-5" "714_S2_5-9" "714_S2_20-24" "714_S3_1-5" "714_S3_5-9" "714_S3_10-14" "715_E3_20-24" "715_P1_10-14" "715_P1_20-24" "715_P1_30-34" "715_P2_10-14" "715_P2_20-24" "715_P3_20-24" "715_P3_30-34" "716_P1_1-5" "716_P1_10-14" "716_P1_30-34" "716_P2_1-5" "716_P2_10-14" "716_P2_20-24" "716_P2_30-34" "716_P3_1-5" "716_P3_10-14" "716_P3_20-24" "716_P3_30-34" "716_S1_1-5" "716_S1_20-24" "716_S1_30-34" "716_S2_1-5" "716_S2_10-14" "716_S2_20-24" "716_S3_10-14" "716_S3_20-24" "717_P1_10-14" "717_P1_20-24" "717_P2_1-5" "717_P2_10-14" "717_P2_20-24" "717_P3_1-5" "717_P3_10-14" "717_P3_20-24" "717_S2_1-5" "717_S2_20-24" "717_S3_1-5" "717_S3_10-14" "717_S3_20-24"
"20120700_P1D_3" 0 0 0 0 0.14568275 0 0 135.90865 0 1.2428474 0 0 0 0.1360473 0.080750264 0 75.91612 0 0 0 0 0 2.9855466 0.8709936 0 0 0 0 0.24842533 0 0.0861737 0 0 0 1.3378984 0 0.35354564 0 0 0 0 0 2.9938166 0.13324043 6.9869227 0 0 0 1.8370757 0 0 0 0 0 0 0.08592809 0 0 0 0 0 0 0 0 0 0.31481722 0 0 0 0 0 0 0.61662066 10.499668 0 0 0 0 0 0 0 0 0 0 0 0 4.1950645 0 0 0.7531319 0 0 0 0 0
"20120700_P3D_119" 0 0 0 0 2.7862425 0 0.1982649 4.1891146 0 0.2939155 0 0 0 0 0 0 0.651631 0 0 0.20064367 0 0 1.7171128 0 0 0 0 0 0 0 0 0.08262391 0.13021918 0 0 0 0 0 0 0 0 0 0 0 0.4796693 1.2594404 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.12759764 0 0 0 0 0.20481317 0 0 0.073719665 0 0 0 0 1.250825 0 0 0 0 0 0 0 0 0 0.29496542 0 2.2554264 6.89485 0 0 0.8214953 0 0 0 0 0
"20120500_P25_12" 0 0 0 0.06134749 1.381642 0 0 12.083708 0 0.83111376 0 0 0 0 0 0 1.3805268 0 0 0 0 0 6.4999475 0 0 0 0 0.079553336 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.509732 3.0566592 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.3710914 0 0 0 0 0 0 0 0 0 0 0 0.20385769 6.5351715 0 0 0.5942964 0 0 0 0 0
"20110700_P2D_7" 0 0 0 0 0.90897614 0 0 20.672503 0 0 0 0 0 0 0 0 0.09989451 0 0 0 0 0 2.0197458 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.39872855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.2609465 0 0 0 0 0 0 0 0 0 0 0 0 5.2734756 0 0 0.21216698 0 0 0 0 0
"20120700_P3D_33" 0 0 0 0.20365101 2.7600563 0 0.38313705 1.4596307 0.19702874 1.5302607 0 0 0 0 0 0 0.51172364 0 0 1.357867 0 0 0.8195308 0 0 0 0 0.14136794 0.16181476 0 0 0.22193034 0 0 0 0 0 0 0 0 0 0 0 0 5.2527137 0.112538494 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.09761312 0 0 0 0 1.253709 0.15182093 0 1.4468269 0 0 0 0.93525434 2.4420402 0 0 0 0 0 0 0 0 0 0.41072828 0 3.685172 4.917523 0 0 1.3675776 0 0 0 0 0
"20120700_P3D_46" 0 0 0 0 0.37919638 0 0 2.7586818 0 0.31261116 0 0 0 0 0 0 0.22586559 0 0 0 0 0 1.3390626 0 0 0 0 0 0 0 0 0.23921825 0 0 0 0 0 0 0 0 0 0 0 0 5.582298 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.13705012 0 0 0 0 1.0559149 0 0 0 0 0 0 0 0 0 0 0 0.4567969 3.6676013 0 0 0 0 0 0 0 0
"20120700_P3D_11" 0 0 0 0 0.60785216 0 0.08759749 0.709071 0.1433591 0.39331383 0 0 0 0 0 0 0.23806344 0 0 0.3021452 0 0 0.56920844 0 0 0 0 0 0 0 0 0 0.101011164 0 0 0 0 0 0 0 0 0 0 0 1.3580343 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.3395997 0 0 0.42421412 0 0 0.39001107 0 0 0 0.85337305 0.71369153 0 0 0 0 0 0 0 0 0 0.25775233 0 0.43840075 0.7444917 0 0 0.5567743 0 0 0 0 0
"20120700_P3D_83" 0 0 0.061161596 0.15114133 0.27977 0 0.12588732 0 0.2886406 12.18661 0 0 0 0 0.0977932 0.24483633 6.1237288 0.08365932 0.10548527 0.18600054 0.062147602 0.11418478 2.3658135 0 0 0 0 0 0 0 0 0 0.16691217 0.10331847 0 0 0 0.09455252 0 0 0 0 0 0 5.5848184 0 0.13758501 0 0 0.13594806 0 0 0 0 0.075668134 0 0.15199627 0.07095342 0.10868594 0 0 0 0.122682564 0.09937217 0.060608193 0.092147894 0.06213688 0.103809506 0.09037565 0.4357029 0.24384761 0.07295503 0 2.6377528 0.12552749 0 0 0.17002662 0 0 0.1423627 0 0.10738767 0.1065883 0 0.12887357 6.2896833 0.15049098 0.17584527 4.6712956 0 0 0 0 0
"20120700_P3D_143" 0 0 0 0.107446425 0.6900166 0 0 4.900617 0 0.22941402 0 0 0 0 0 0 1.3109938 0 0 0 0 0 2.4042134 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.3007665 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.902561 0 0 0 0 0 0 0 0 0 0 0 1.6195481 18.079536 0 0 1.7485998 0 0 0 0 0
"20111000_P1M_7" 0 0 0 1.532758 0 0 4.89813 0 2.5066357 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18.37718 0 0.22323112 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.42709926 0 0.056342963 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.9015102 9.55053 0 0 6.502974 0 0 0 0 0
"20110800_P2D_9" 0 0 0 0.18020755 0.360416 0 0.091085434 1.9390674 0 7.085837 0 0 0 0 0 0 1.4261994 0 0 2.4970562 0 0 1.2100835 0 0 0 0 0 0 0 0 0 0.29786015 0 0 0 0 0 0.06725905 0 0 0 0 0 7.907107 0.062554285 0 0 0 0 0 0 0 0.6684269 0.23782007 0 0 0 0 0 0.34129813 0 0.21713087 0 0 1.4770597 0.20073535 0 0.6905138 0.9907261 0 0 0.7252019 2.3695161 0 0 0 0 0 0 0.15731446 0 0 1.0347056 0 1.1273795 2.9449122 0 0 1.8640646 0 0 0.06976417 0 0
"20110600_P1D_1" 0 0 0 2.2196233 0 0.8588717 0.34055766 0 0.72031677 0 0 0 0 0 0 0.08788085 0 0 0.3331219 0 0.107404545 0.06818739 0 0 0 0 0 0 0 0 0 0 0 0.7726599 0 0 0 0 0 0 0 0 0 0 3.8208878 0 0.32696104 0 0 0 0 0 0 0 0 0 0 0 0 0.15650807 0.96772766 0.055818707 1.6428556 0 0 1.0681747 0.18993253 0.36388162 1.68168 0 1.1479641 0 1.621766 1.1885958 0 0 0 0 0 0 0 0 0.29126537 2.443146 0.27387568 0.15072411 26.476717 0 0 8.486193 0 0 0 0 0
"20120700_P3D_75" 0.07057254 0 0 0 0.29408598 0 0 3.8926702 0 10.273223 0 0 0 0 0 0 5.586956 0 0 1.1172861 0 0 8.708777 0 0 0 0 0 0 0 0 0 0.1397318 0 0.25307035 0 0 0 0 0 0 0 0 0 0.72027296 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.16944243 0 0 0.15388179 0.6620997 0 0 0.47549376 4.5371222 0 0 0 0 0 0 0 0 0 0.18207368 0 0.16254681 1.3549016 0 0 0.81136185 0 0 0 0 0
"PLXO01" 0 0 0 0 0.115771845 0 0 29.743887 0 1.8916744 0 0 0 0 0 0 2.54138 0 0 7.721363 0 0 14.247714 0 0 0 0 0 0 0 0 0 1.1055176 0 0.55102473 0 0 0 0 0 0 0.09371988 0 0 0.6500602 0 0.48866212 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9028063 0 0.198575 0 0 0.9153551 0.11630118 0 0.5158764 0.99665225 0 0 0.15047571 2.3444207 0 0 0 0 0 0 0 0 0 0.7747438 0 0.07065315 3.8343654 0 0 0.1680814 0 0 0 0 0
