Protein Name	EC#	Reference	Organism	GenBank	Uniprot	PDB/3D	Taxonomy	Nrow_before_sepGenbank	FamilyName
β-galactoside phosphorylase (bpr_I0232)	2.4.1.-	pubmed	Butyrivibrio proteoclasticus B316	WP_013279638.1			Bacteria	16	GH112
galacto-N-biose phosphorylase (CPF_0553)	2.4.1.211	pubmed	Clostridium perfringens ATCC 13124	ABG83511.1	A0A0H2YRA5Q0TTN3		Bacteria	16	GH112
β-1,3-galactosyl-N-acetylhexosamine phosphorylase (GnpA)	2.4.1.211	pubmed	Cutibacterium acnes JCM 6425	BAH10636.1	B7XEJ1		Bacteria	16	GH112
β-1,3-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose phosphorylase (GNBP;HMPREF0357_1319)	2.4.1.211	pubmed	Erysipelothrix rhusiopathiae ATCC 19414	ZP_05748149.1			Bacteria	16	GH112
β-1,3-galactosyl-N-acetylhexosamine phosphorylase (Cphy_3030)	2.4.1.211	pubmed	Lachnoclostridium phytofermentans ISDg	ABX43387.1	A9KQ75		Bacteria	16	GH112
β-1,3-galactosyl-N-acetylhexosamine phosphorylase (Cphy_0577)	2.4.1.211	pubmed	Lachnoclostridium phytofermentans ISDg	ABX40964.1	A9KIW5		Bacteria	16	GH112
β-D-galactosyl-1,4-L-rhamnose phosphorylase (Cphy_1920)	2.4.1.247	pubmed	Lachnoclostridium phytofermentans ISDg	ABX42289.1	A9KHK4		Bacteria	16	GH112
D-galactosyl-β-1,4-L-rhamnose phosphorylase (GalRhaP;Oter_1377)	2.4.1.247	doi	Opitutus terrae PB90-1	ACB74662.1	B1ZRY6		Bacteria	16	GH112
β-1,3-galactosyl-N-acetylhexosamine phosphorylase (RhGLnbp112;RHOM_04120)	2.4.1.211	pubmed	Roseburia hominis A2-183	AEN95946.1	G2T0V2		Bacteria	16	GH112
β-1,3-galactosyl-N-acetylhexosamine phosphorylase (RiGLnbp112; ROSEINA2194_01886; GnpA)	2.4.1.211	pubmed	Roseburia inulinivorans DSM 16841	EEG94248.1	C0FT19		Bacteria	16	GH112
β-1,3-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose phosphorylase (GNBP;Smon_0146)	2.4.1.211	pubmed	Streptobacillus moniliformis DSM 12112	ACZ00636.1	D1AWG0		Bacteria	16	GH112
β-1,3-galactosyl-N-acetylhexosamine phosphorylase (GalGlyNAcP;VV2_1091)	2.4.1.211	pubmed	Vibrio vulnificus CMCP6	AAO07997.1	A0A3Q0KZS1		Bacteria	16	GH112
β-1,3-galactosyl-N-acetylhexosamine phosphorylase (GalGlyNAcP;VV2_1091)	2.4.1.211	pubmed	Vibrio vulnificus CMCP6	NP_763007.1	A0A3Q0KZS1		Bacteria	16	GH112
α-N-acetylgalactosaminidase (AmGH109B;Amuc_0017)	3.2.1.49	doi	Akkermansia muciniphila ATCC BAA-835	ACD03864.1	B2UL75		Bacteria	9	GH109
α-N-acetylgalactosaminidase (AmGH109B;Amuc_0017)	3.2.1.49	doi	Akkermansia muciniphila ATCC BAA-835	QTD80695.1	B2UL75		Bacteria	9	GH109
a/β-N-acetylgalactosaminidase (AmGH109A;Amuc_0920)	3.2.1.493.2.1.52	doidoi	Akkermansia muciniphila ATCC BAA-835	ACD04752.1	B2UQL7	6T2B[A,B,C,D]	Bacteria	9	GH109
a/β-N-acetylgalactosaminidase (AmGH109A;Amuc_0920)	3.2.1.493.2.1.52	doidoi	Akkermansia muciniphila ATCC BAA-835	QTD81538.1	B2UQL7	6T2B[A,B,C,D]	Bacteria	9	GH109
N-acetylgalactosaminidase	3.2.1.49	pubmed	Arenibacter latericius KMM426	ADM26828.1	E1AXI3		Bacteria	9	GH109
α-N-acetylgalactosaminidase (NagA)	3.2.1.49	pubmed	Elizabethkingia meningoseptica ATCC 13253	CAJ01375.1	A2AWV6		Bacteria	9	GH109
α-N-acetylgalactosaminidase (NagA)	3.2.1.49	pubmed	Elizabethkingia meningoseptica ATCC 33958	CAJ01376.1	A4Q8F7	2IXA[A]2IXB[A]	Bacteria	9	GH109
α-N-acetylgalactosaminidase (BvGH109_1)	3.2.1.49	pubmed	Phocaeicola vulgatus	WP_005848863.1			Bacteria	9	GH109
α-N-acetylgalactosaminidase (NagA)	3.2.1.49	pubmed	Shewanella oneidensis ATCC70050	CAJ01377.1	Q8ECL7		Bacteria	9	GH109
α-N-acetylgalactosaminidase	3.2.1.49	pubmed	Tannerella forsythia ATCC43037	CAJ01380.1	A4Q8G1		Bacteria	9	GH109
