Protein Name	EC#	Reference	Organism	GenBank	Uniprot	PDB/3D	Taxonomy	Nrow_before_sepGenbank	FamilyName
pectate lyase (PelE)	4.2.2.2	pubmed	Dickeya chrysanthemi EC16	CAW91916.1	P04960	1PCL[A]	Bacteria	87	PL1
pectate lyase (PelE)	4.2.2.2	pubmed	Dickeya chrysanthemi EC16	CAW96013.1	P04960	1PCL[A]	Bacteria	87	PL1
pectate lyase (PelE)	4.2.2.2	pubmed	Dickeya chrysanthemi EC16	CAW96234.1	P04960	1PCL[A]	Bacteria	87	PL1
pectate lyase (PelE)	4.2.2.2	pubmed	Dickeya chrysanthemi EC16	CAW97080.1	P04960	1PCL[A]	Bacteria	87	PL1
pectate lyase (PelE)	4.2.2.2	pubmed	Dickeya chrysanthemi EC16	CAX02157.1	P04960	1PCL[A]	Bacteria	87	PL1
pectate lyase (PelE)	4.2.2.2	pubmed	Dickeya chrysanthemi EC16	CAX06727.1	P04960	1PCL[A]	Bacteria	87	PL1
pectate lyase (PelE)	4.2.2.2	pubmed	Dickeya chrysanthemi EC16	CAX07081.1	P04960	1PCL[A]	Bacteria	87	PL1
pectate lyase (PelE)	4.2.2.2	pubmed	Dickeya chrysanthemi EC16	CAX07584.1	P04960	1PCL[A]	Bacteria	87	PL1
pectate lyase (PelE)	4.2.2.2	pubmed	Dickeya chrysanthemi EC16	CBC11583.1	P04960	1PCL[A]	Bacteria	87	PL1
pectate lyase (PelE)	4.2.2.2	pubmed	Dickeya chrysanthemi EC16	CBC98486.1	P04960	1PCL[A]	Bacteria	87	PL1
pectate lyase D (PelD;PLd;Dda3937_03372)	4.2.2.2	pubmed	Dickeya dadantii 3937	ADM99552.1	E0SAZ3Q9Z4J4		Bacteria	87	PL1
pectate lyase D (PelD;PLd;Dda3937_03372)	4.2.2.2	pubmed	Dickeya dadantii 3937	CAA10570.1	E0SAZ3Q9Z4J4		Bacteria	87	PL1
pectate lyase D (PelD;PLd;Dda3937_03372)	4.2.2.2	pubmed	Dickeya dadantii 3937	CAW40891.1	E0SAZ3Q9Z4J4		Bacteria	87	PL1
pectate lyase D (PelD;PLd;Dda3937_03372)	4.2.2.2	pubmed	Dickeya dadantii 3937	CAW46049.1	E0SAZ3Q9Z4J4		Bacteria	87	PL1
pectate lyase D (PelD;PLd;Dda3937_03372)	4.2.2.2	pubmed	Dickeya dadantii 3937	CAW49253.1	E0SAZ3Q9Z4J4		Bacteria	87	PL1
pectate lyase D (PelD;PLd;Dda3937_03372)	4.2.2.2	pubmed	Dickeya dadantii 3937	CAW50960.1	E0SAZ3Q9Z4J4		Bacteria	87	PL1
pectate lyase D (PelD;PLd;Dda3937_03372)	4.2.2.2	pubmed	Dickeya dadantii 3937	CAW61511.1	E0SAZ3Q9Z4J4		Bacteria	87	PL1
pectate lyase D (PelD;PLd;Dda3937_03372)	4.2.2.2	pubmed	Dickeya dadantii 3937	CAW62421.1	E0SAZ3Q9Z4J4		Bacteria	87	PL1
pectate lyase D (PelD;PLd;Dda3937_03372)	4.2.2.2	pubmed	Dickeya dadantii 3937	CAW70677.1	E0SAZ3Q9Z4J4		Bacteria	87	PL1
pectate lyase D (PelD;PLd;Dda3937_03372)	4.2.2.2	pubmed	Dickeya dadantii 3937	CAW71309.1	E0SAZ3Q9Z4J4		Bacteria	87	PL1
pectate lyase D (PelD;PLd;Dda3937_03372)	4.2.2.2	pubmed	Dickeya dadantii 3937	CAW73789.1	E0SAZ3Q9Z4J4		Bacteria	87	PL1
pectate lyase D (PelD;PLd;Dda3937_03372)	4.2.2.2	pubmed	Dickeya dadantii 3937	CAW79766.1	E0SAZ3Q9Z4J4		Bacteria	87	PL1
pectate lyase D (PelD;PLd;Dda3937_03372)	4.2.2.2	pubmed	Dickeya dadantii 3937	CAW89250.1	E0SAZ3Q9Z4J4		Bacteria	87	PL1
pectate lyase D (PelD;PLd;Dda3937_03372)	4.2.2.2	pubmed	Dickeya dadantii 3937	CAW91190.1	E0SAZ3Q9Z4J4		Bacteria	87	PL1
pectate lyase D (PelD;PLd;Dda3937_03372)	4.2.2.2	pubmed	Dickeya dadantii 3937	CAW91860.1	E0SAZ3Q9Z4J4		Bacteria	87	PL1
pectate lyase D (PelD;PLd;Dda3937_03372)	4.2.2.2	pubmed	Dickeya dadantii 3937	CAW95981.1	E0SAZ3Q9Z4J4		Bacteria	87	PL1
pectate lyase D (PelD;PLd;Dda3937_03372)	4.2.2.2	pubmed	Dickeya dadantii 3937	CAW96202.1	E0SAZ3Q9Z4J4		Bacteria	87	PL1
pectate lyase D (PelD;PLd;Dda3937_03372)	4.2.2.2	pubmed	Dickeya dadantii 3937	CAW97048.1	E0SAZ3Q9Z4J4		Bacteria	87	PL1
pectate lyase D (PelD;PLd;Dda3937_03372)	4.2.2.2	pubmed	Dickeya dadantii 3937	CAX02125.1	E0SAZ3Q9Z4J4		Bacteria	87	PL1
pectate lyase D (PelD;PLd;Dda3937_03372)	4.2.2.2	pubmed	Dickeya dadantii 3937	CAX06695.1	E0SAZ3Q9Z4J4		Bacteria	87	PL1
pectate lyase D (PelD;PLd;Dda3937_03372)	4.2.2.2	pubmed	Dickeya dadantii 3937	CAX07049.1	E0SAZ3Q9Z4J4		Bacteria	87	PL1
pectate lyase D (PelD;PLd;Dda3937_03372)	4.2.2.2	pubmed	Dickeya dadantii 3937	CAX07552.1	E0SAZ3Q9Z4J4		Bacteria	87	PL1
pectate lyase D (PelD;PLd;Dda3937_03372)	4.2.2.2	pubmed	Dickeya dadantii 3937	CBC11551.1	E0SAZ3Q9Z4J4		Bacteria	87	PL1
pectate lyase D (PelD;PLd;Dda3937_03372)	4.2.2.2	pubmed	Dickeya dadantii 3937	CBC98428.1	E0SAZ3Q9Z4J4		Bacteria	87	PL1
pectate lyase Z (PelZ;Dda3937_04191)	4.2.2.2	pubmed	Dickeya dadantii 3937	ADN00347.1	E0SJQ8P94773		Bacteria	87	PL1
pectate lyase Z (PelZ;Dda3937_04191)	4.2.2.2	pubmed	Dickeya dadantii 3937	CAA65785.1	E0SJQ8P94773		Bacteria	87	PL1
pectate lyase C (PelC;PLc;Dda3937_04192)	4.2.2.2	pubmed	Dickeya dadantii 3937	ADN00346.1	E0SJQ7Q59420Q79AJ0		Bacteria	87	PL1
pectate lyase C (PelC;PLc;Dda3937_04192)	4.2.2.2	pubmed	Dickeya dadantii 3937	CAA10642.1	E0SJQ7Q59420Q79AJ0		Bacteria	87	PL1
